epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.394,0.65324,0.92116,1.64542,1.17328,0.43682,0.66672,0.52993,0.38719,0.41946,0.63834,0.48623,0.15611,0.91165,7.97288,2.08768,1.73862,0.000415832,0.000415832,0.000415832
2,240.749,0.70831,0.96448,1.34778,1.20679,0.55697,0.81458,0.72224,0.64565,0.55626,0.81192,0.71714,0.67656,0.49021,0.53743,1.06224,1.16774,0.000824257,0.000824257,0.000824257
3,360.168,0.67741,0.95709,1.29695,1.17382,0.61721,0.79635,0.74349,0.66491,0.61145,0.78599,0.73054,0.67826,0.5322,0.75591,1.01673,1.2272,0.00122443,0.00122443,0.00122443
4,479.572,0.63312,0.96556,1.21856,1.15472,0.69783,0.70708,0.755,0.67418,0.69401,0.70543,0.74816,0.70333,0.5377,0.51749,1.06152,1.19948,0.00121287,0.00121287,0.00121287
5,598.851,0.57514,0.88492,1.14019,1.11836,0.66757,0.76099,0.81552,0.74378,0.7158,0.67675,0.80007,0.75851,0.45613,0.60575,0.95037,1.10126,0.0012005,0.0012005,0.0012005
6,717.994,0.5402,0.82314,1.06564,1.09721,0.76613,0.86478,0.87183,0.8202,0.75086,0.84873,0.85618,0.80571,0.35299,0.52982,0.74529,1.01871,0.00118812,0.00118812,0.00118812
7,837.102,0.49956,0.79226,1.0336,1.07212,0.81201,0.80551,0.87792,0.81846,0.78288,0.83349,0.87323,0.82914,0.40575,0.47966,0.75548,1.08557,0.00117575,0.00117575,0.00117575
8,956.441,0.49761,0.79267,0.98709,1.067,0.72802,0.82558,0.88967,0.83962,0.71805,0.79844,0.87943,0.82867,0.32842,0.49888,0.72341,0.96711,0.00116337,0.00116337,0.00116337
9,1075.55,0.47153,0.73086,0.92755,1.0493,0.91633,0.82054,0.9187,0.87401,0.91501,0.81502,0.90748,0.87056,0.33694,0.41876,0.54674,0.97953,0.001151,0.001151,0.001151
10,1194.62,0.49936,0.77937,0.92121,1.06474,0.85721,0.81834,0.90516,0.85457,0.85123,0.81113,0.89244,0.85818,0.35749,0.4315,0.5517,0.99612,0.00113863,0.00113863,0.00113863
11,1313.47,0.4349,0.67127,0.89899,1.0331,0.82063,0.89462,0.93088,0.89361,0.81732,0.88585,0.92484,0.88256,0.29019,0.42437,0.55122,0.94654,0.00112625,0.00112625,0.00112625
12,1432.48,0.44329,0.66566,0.88111,1.03299,0.82702,0.79279,0.87774,0.83435,0.82399,0.78513,0.86824,0.83075,0.26881,0.40688,0.5926,0.93116,0.00111388,0.00111388,0.00111388
13,1551.44,0.43178,0.65358,0.84123,1.02826,0.87149,0.87393,0.93221,0.89777,0.86688,0.8769,0.93008,0.88096,0.26667,0.41659,0.50238,0.9236,0.0011015,0.0011015,0.0011015
14,1670.76,0.42191,0.6613,0.83637,1.02205,0.87792,0.83887,0.92759,0.88956,0.87792,0.83887,0.92641,0.88096,0.26002,0.39063,0.51506,0.91414,0.00108913,0.00108913,0.00108913
15,1789.83,0.4165,0.64746,0.81817,1.01524,0.86905,0.87509,0.93446,0.8928,0.86749,0.87133,0.92505,0.88497,0.27537,0.41755,0.48261,0.9382,0.00107675,0.00107675,0.00107675
16,1908.83,0.39505,0.60676,0.7899,1.0081,0.84473,0.86691,0.92884,0.88511,0.84473,0.86691,0.92779,0.88568,0.2632,0.35173,0.47111,0.92128,0.00106437,0.00106437,0.00106437
17,2027.83,0.40324,0.62743,0.79041,1.01483,0.91269,0.88775,0.93978,0.90568,0.91073,0.88775,0.93722,0.89431,0.24166,0.35403,0.39564,0.91131,0.001052,0.001052,0.001052
18,2146.9,0.37524,0.57012,0.76469,0.99239,0.93324,0.90913,0.94309,0.91476,0.93002,0.90677,0.94003,0.90579,0.24645,0.41217,0.37473,0.90687,0.00103962,0.00103962,0.00103962
19,2266.03,0.36953,0.56737,0.74998,0.98868,0.8928,0.89295,0.93441,0.90631,0.8928,0.89295,0.93508,0.89688,0.22583,0.40315,0.40578,0.89288,0.00102725,0.00102725,0.00102725
20,2385.01,0.36432,0.56407,0.74895,0.98679,0.94276,0.89615,0.94514,0.91087,0.93945,0.89362,0.94012,0.90067,0.23089,0.36418,0.40225,0.89005,0.00101488,0.00101488,0.00101488
21,2503.99,0.35015,0.51545,0.72013,0.98048,0.94131,0.87708,0.94377,0.90272,0.93814,0.87487,0.93579,0.89788,0.23848,0.38924,0.38803,0.90035,0.0010025,0.0010025,0.0010025
22,2623.03,0.36259,0.57214,0.70228,0.98373,0.90314,0.88716,0.93837,0.90101,0.90314,0.88716,0.93633,0.89936,0.22899,0.32543,0.40219,0.88065,0.000990125,0.000990125,0.000990125
23,2741.83,0.34191,0.52832,0.70948,0.97564,0.88064,0.8895,0.93537,0.8956,0.87781,0.88684,0.9297,0.89441,0.23043,0.36065,0.39416,0.90661,0.00097775,0.00097775,0.00097775
24,2860.64,0.34818,0.52357,0.66967,0.97763,0.88353,0.90561,0.94151,0.91044,0.88353,0.90561,0.94022,0.89799,0.21724,0.33959,0.39721,0.89201,0.000965375,0.000965375,0.000965375
25,2979.48,0.34831,0.51745,0.69906,0.97497,0.90818,0.88929,0.94321,0.90979,0.90523,0.88663,0.93754,0.90353,0.21479,0.34521,0.37954,0.88257,0.000953,0.000953,0.000953
26,3098.41,0.34535,0.52857,0.6795,0.97759,0.92255,0.90562,0.9427,0.90959,0.91789,0.90599,0.9479,0.90713,0.22887,0.3561,0.36388,0.88464,0.000940625,0.000940625,0.000940625
27,3217.4,0.34156,0.51436,0.65448,0.97959,0.91644,0.87984,0.93628,0.9058,0.91644,0.87984,0.93559,0.89763,0.21404,0.37029,0.41714,0.88488,0.00092825,0.00092825,0.00092825
28,3336.47,0.34453,0.5561,0.66178,0.96794,0.91355,0.89296,0.94053,0.91237,0.91068,0.8903,0.93498,0.90295,0.22019,0.3512,0.36411,0.88256,0.000915875,0.000915875,0.000915875
29,3455.39,0.34114,0.46719,0.64324,0.97223,0.91811,0.8865,0.94319,0.90833,0.91811,0.8865,0.943,0.90239,0.22287,0.33635,0.3602,0.87469,0.0009035,0.0009035,0.0009035
30,3574.23,0.33036,0.47595,0.64201,0.97123,0.87617,0.84874,0.92934,0.89581,0.86995,0.84375,0.9193,0.8908,0.20728,0.32411,0.4552,0.8763,0.000891125,0.000891125,0.000891125
31,3693.07,0.31503,0.46931,0.64421,0.95851,0.85687,0.91702,0.94426,0.91949,0.85377,0.91908,0.94648,0.91241,0.19822,0.31704,0.38196,0.86691,0.00087875,0.00087875,0.00087875
32,3812.24,0.34268,0.52078,0.66103,0.97406,0.90932,0.9117,0.94689,0.92252,0.90932,0.9117,0.94556,0.91351,0.19953,0.3091,0.33725,0.87216,0.000866375,0.000866375,0.000866375
33,3931.41,0.32392,0.49033,0.62423,0.96228,0.92566,0.8625,0.94225,0.91593,0.92566,0.8625,0.94724,0.91503,0.20734,0.30486,0.38246,0.88215,0.000854,0.000854,0.000854
34,4050.37,0.31634,0.45115,0.61849,0.96007,0.91373,0.89455,0.94073,0.91497,0.91373,0.89455,0.94063,0.90593,0.19427,0.34708,0.3374,0.87053,0.000841625,0.000841625,0.000841625
35,4169.42,0.32506,0.48817,0.63285,0.95848,0.9454,0.89425,0.94487,0.91492,0.9454,0.89425,0.944,0.90844,0.19997,0.31773,0.35578,0.87369,0.00082925,0.00082925,0.00082925
36,4288.38,0.3223,0.46728,0.6234,0.96056,0.9536,0.8923,0.95027,0.92635,0.9536,0.8923,0.94986,0.91263,0.20747,0.34426,0.32678,0.87679,0.000816875,0.000816875,0.000816875
37,4407.33,0.32019,0.46888,0.60349,0.96092,0.91575,0.8996,0.93835,0.9095,0.9215,0.89199,0.93703,0.90622,0.20969,0.32343,0.39492,0.88349,0.0008045,0.0008045,0.0008045
38,4526.19,0.30726,0.43675,0.60884,0.95642,0.93211,0.89456,0.94997,0.92024,0.92928,0.89212,0.94696,0.91012,0.19858,0.34701,0.3208,0.86078,0.000792125,0.000792125,0.000792125
39,4645.08,0.30683,0.43544,0.59329,0.94628,0.92766,0.89114,0.94727,0.92312,0.92766,0.89114,0.94682,0.91392,0.19372,0.28332,0.33975,0.85904,0.00077975,0.00077975,0.00077975
40,4764,0.29531,0.41116,0.59338,0.94869,0.94251,0.89025,0.94944,0.92083,0.93941,0.88759,0.94663,0.91293,0.1944,0.33033,0.31438,0.86988,0.000767375,0.000767375,0.000767375
